date,open,close,high,low,volume,volume.1
2022-03-28,49.9,49.82,50.18,49.14,27456.0,27456.0
2022-03-29,50.05,48.52,50.74,48.24,28359.0,28359.0
2022-03-30,49.18,49.99,50.1,48.6,34935.0,34935.0
2022-03-31,50.4,48.99,50.4,48.6,26687.0,26687.0
2022-04-01,48.6,48.6,49.18,47.7,21928.0,21928.0
2022-04-06,48.99,46.99,48.99,46.65,41608.0,41608.0
2022-04-07,47.0,45.69,47.3,45.69,26284.0,26284.0
2022-04-08,45.9,45.44,46.4,44.66,30423.0,30423.0
2022-04-11,45.3,43.55,45.44,43.35,26740.0,26740.0
2022-04-12,43.45,43.9,44.18,42.38,30855.0,30855.0
2022-04-13,43.53,42.2,43.88,42.01,22503.0,22503.0
2022-04-14,42.81,42.85,43.7,41.96,28312.0,28312.0
2022-04-15,43.2,43.41,44.19,42.8,35249.0,35249.0
2022-04-18,43.02,44.48,45.28,42.51,38801.0,38801.0
2022-04-19,44.29,43.43,44.93,43.19,23754.0,23754.0
2022-04-20,43.8,42.92,44.17,42.74,18010.0,18010.0
2022-04-21,42.51,42.1,43.99,42.03,27235.0,27235.0
2022-04-22,42.1,41.3,42.4,41.08,21173.0,21173.0
2022-04-25,40.75,38.27,40.75,38.2,36350.0,36350.0
2022-04-26,38.62,36.5,39.08,36.5,30371.0,30371.0
2022-04-27,35.36,39.34,39.53,35.24,37604.0,37604.0
2022-04-28,39.2,38.12,39.2,37.81,29668.0,29668.0
2022-04-29,38.5,39.68,40.1,37.89,30955.0,30955.0
2022-05-05,39.78,39.9,41.09,39.36,29806.0,29806.0
2022-05-06,38.56,39.61,40.39,38.56,30114.0,30114.0
2022-05-09,39.86,38.88,40.1,38.6,24045.0,24045.0
2022-05-10,38.15,40.36,41.05,38.15,36229.0,36229.0
2022-05-11,40.35,41.21,42.5,40.01,39637.0,39637.0
2022-05-12,40.92,41.31,42.05,40.76,26022.0,26022.0
2022-05-13,41.74,41.8,42.67,40.8,27380.0,27380.0
2022-05-16,42.67,41.29,43.28,41.09,28816.0,28816.0
2022-05-17,41.06,43.9,44.37,41.02,53142.0,53142.0
2022-05-18,44.44,43.66,44.66,43.33,35207.0,35207.0
2022-05-19,42.88,44.66,44.86,42.7,39057.0,39057.0
2022-05-20,44.53,45.05,45.33,44.07,28764.0,28764.0
2022-05-23,45.11,45.68,46.28,44.42,29440.0,29440.0
2022-05-24,45.41,43.67,46.26,43.67,33106.0,33106.0
2022-05-25,44.0,44.06,45.29,43.8,22816.0,22816.0
2022-05-26,44.15,43.44,44.46,43.03,48193.0,48193.0
2022-05-27,43.5,42.66,44.3,42.3,26738.0,26738.0
2022-05-30,42.95,43.6,43.78,41.77,29657.0,29657.0
2022-05-31,43.58,45.28,45.5,42.7,39396.0,39396.0
2022-06-01,45.45,46.24,46.86,45.0,41361.0,41361.0
2022-06-02,46.05,49.8,50.02,46.05,68500.0,68500.0
2022-06-06,50.33,51.2,52.11,49.33,66089.0,66089.0
2022-06-07,51.54,49.92,51.54,49.58,37972.0,37972.0
2022-06-08,50.02,49.05,50.27,48.4,39348.0,39348.0
2022-06-09,48.8,47.05,48.89,46.55,45355.0,45355.0
2022-06-10,46.98,48.67,48.67,46.45,63712.0,63712.0
2022-06-13,48.04,47.77,48.66,47.2,47704.0,47704.0
2022-06-14,47.29,46.63,47.32,45.32,40455.0,40455.0
2022-06-15,46.61,47.52,48.32,46.61,36054.0,36054.0
2022-06-16,47.5,48.14,49.57,47.34,34552.0,34552.0
2022-06-17,47.34,48.45,48.5,47.0,28698.0,28698.0
2022-06-20,48.48,48.34,49.6,47.9,29897.0,29897.0
2022-06-21,48.34,47.51,48.63,47.0,27917.0,27917.0
2022-06-22,47.6,45.39,48.0,45.38,33684.0,33684.0
2022-06-23,45.83,47.88,47.88,45.76,40051.0,40051.0
2022-06-24,47.96,48.51,49.29,47.82,29834.0,29834.0
2022-06-27,48.67,48.42,49.87,48.35,29585.0,29585.0
2022-06-28,48.58,49.9,50.22,47.5,39359.0,39359.0
2022-06-29,49.5,48.3,51.25,48.26,40441.0,40441.0
2022-06-30,48.01,49.4,50.33,48.01,34495.0,34495.0
2022-07-01,49.46,48.24,49.65,48.01,26100.0,26100.0
2022-07-04,47.3,46.94,47.51,46.4,45101.0,45101.0
2022-07-05,46.94,47.1,49.28,46.5,41781.0,41781.0
2022-07-06,47.33,48.85,50.3,47.19,59494.0,59494.0
2022-07-07,49.0,47.32,49.23,47.08,44724.0,44724.0
2022-07-08,47.67,48.7,49.9,47.67,39740.0,39740.0
2022-07-11,48.72,46.81,48.88,46.21,43645.0,43645.0
2022-07-12,46.74,44.67,47.29,44.44,36569.0,36569.0
2022-07-13,44.71,44.04,44.99,43.8,26546.0,26546.0
2022-07-14,44.14,45.84,46.1,43.39,39490.0,39490.0
2022-07-15,45.67,47.11,48.95,45.67,44733.0,44733.0
2022-07-18,47.06,46.65,47.2,45.25,37734.0,37734.0
2022-07-19,46.9,46.3,48.33,45.58,43041.0,43041.0
2022-07-20,46.5,47.56,48.41,46.5,43359.0,43359.0
2022-07-21,47.1,48.0,49.57,47.1,45477.0,45477.0
2022-07-22,48.68,46.75,49.5,46.26,38248.0,38248.0
2022-07-25,46.54,46.77,48.32,46.22,31084.0,31084.0
2022-07-26,46.81,46.67,46.9,45.76,26429.0,26429.0
2022-07-27,46.3,45.77,46.49,45.44,29724.0,29724.0
2022-07-28,46.33,48.01,48.67,46.29,59099.0,59099.0
2022-07-29,48.11,46.45,48.68,46.33,37986.0,37986.0
2022-08-01,45.9,48.01,48.15,44.28,53738.0,53738.0
2022-08-02,47.74,48.35,50.2,46.8,77528.0,77528.0
2022-08-03,48.67,49.49,51.2,47.9,96057.0,96057.0
2022-08-04,50.5,50.5,52.07,50.01,87626.0,87626.0
2022-08-05,56.0,60.6,60.6,55.03,121312.0,121312.0
2022-08-08,70.0,65.38,72.4,64.05,372119.0,372119.0
2022-08-09,65.57,69.96,71.66,64.81,314482.0,314482.0
2022-08-10,67.0,66.4,72.0,65.98,274530.0,274530.0
2022-08-11,66.81,65.89,68.81,65.89,161405.0,161405.0
2022-08-12,64.01,62.38,65.82,62.38,158795.0,158795.0
2022-08-15,62.51,62.94,64.25,61.06,109089.0,109089.0
2022-08-16,62.62,62.42,63.65,61.3,82044.0,82044.0
2022-08-17,61.09,60.12,62.3,60.0,92706.0,92706.0
2022-08-18,59.0,59.3,61.16,58.6,108290.0,108290.0
2022-08-19,59.75,57.0,61.09,56.98,84228.0,84228.0
2022-08-22,57.0,55.66,57.77,55.2,67129.0,67129.0
2022-08-23,55.91,55.9,56.5,55.08,51235.0,51235.0
2022-08-24,56.25,52.94,56.27,52.52,69760.0,69760.0
2022-08-25,53.2,52.32,53.48,51.6,50999.0,50999.0
2022-08-26,52.86,50.78,52.98,50.51,51250.0,51250.0
2022-08-29,49.49,50.33,51.63,49.1,51011.0,51011.0
2022-08-30,50.07,49.65,51.32,49.38,51782.0,51782.0
2022-08-31,49.5,48.4,50.25,48.21,49083.0,49083.0
2022-09-01,50.44,48.33,51.89,48.08,87597.0,87597.0
2022-09-02,49.13,51.56,52.49,48.62,122829.0,122829.0
2022-09-05,51.0,50.9,51.68,49.98,61083.0,61083.0
2022-09-06,50.71,51.15,51.4,50.01,46815.0,46815.0
2022-09-07,52.3,52.17,54.0,52.02,83931.0,83931.0
2022-09-08,52.15,50.53,52.48,50.53,49977.0,49977.0
2022-09-09,50.68,50.35,51.1,49.66,39809.0,39809.0
2022-09-13,49.45,49.85,51.75,49.18,39416.0,39416.0
2022-09-14,48.9,49.53,50.39,48.51,38390.0,38390.0
2022-09-15,50.01,47.49,50.02,47.03,52408.0,52408.0
2022-09-16,47.7,46.39,48.54,46.39,44575.0,44575.0
2022-09-19,47.0,45.65,47.32,45.4,48657.0,48657.0
2022-09-20,45.95,46.38,46.48,44.8,45318.0,45318.0
2022-09-21,46.02,46.72,47.29,45.22,42119.0,42119.0
2022-09-22,46.7,47.25,47.54,46.16,41144.0,41144.0
2022-09-23,46.99,45.71,47.19,45.7,40843.0,40843.0
2022-09-26,45.21,46.06,46.5,45.13,30251.0,30251.0
2022-09-27,46.3,47.26,47.48,45.99,30660.0,30660.0
2022-09-28,47.0,45.62,47.0,45.35,23165.0,23165.0
2022-09-29,46.3,45.25,46.75,45.0,22176.0,22176.0
2022-09-30,45.28,43.95,45.85,43.89,24122.0,24122.0
2022-10-10,43.78,41.13,43.78,40.89,41231.0,41231.0
2022-10-11,41.05,40.08,41.6,39.47,31957.0,31957.0
2022-10-12,39.96,42.18,42.5,39.51,40443.0,40443.0
2022-10-13,42.2,42.51,43.48,41.98,31656.0,31656.0
2022-10-14,42.8,43.34,43.53,42.37,24649.0,24649.0
2022-10-17,43.32,44.89,45.49,42.68,33621.0,33621.0
2022-10-18,45.3,44.41,45.69,43.96,23368.0,23368.0
2022-10-19,44.3,43.75,44.95,43.41,22236.0,22236.0
2022-10-20,43.75,47.31,48.5,43.5,71171.0,71171.0
2022-10-21,46.0,46.7,47.41,45.37,48337.0,48337.0
2022-10-24,47.28,46.83,48.5,46.3,42778.0,42778.0
2022-10-25,46.98,46.73,47.89,46.0,32854.0,32854.0
2022-10-26,47.3,49.2,49.8,45.54,58397.0,58397.0
2022-10-27,50.17,52.51,53.22,49.78,92567.0,92567.0
2022-10-28,51.0,50.48,53.0,50.01,67332.0,67332.0
2022-10-31,49.58,51.51,52.01,49.4,59762.0,59762.0
2022-11-01,51.29,51.4,51.55,50.0,50941.0,50941.0
2022-11-02,51.86,51.51,52.91,51.2,50590.0,50590.0
2022-11-03,50.8,53.14,53.5,50.51,58387.0,58387.0
2022-11-04,53.14,53.33,53.89,52.26,41567.0,41567.0
2022-11-07,53.18,52.54,54.47,52.22,45694.0,45694.0
2022-11-08,52.36,51.3,52.88,50.8,34059.0,34059.0
2022-11-09,51.25,51.51,52.14,50.72,24627.0,24627.0
2022-11-10,50.88,50.3,52.16,50.3,30212.0,30212.0
2022-11-11,52.0,50.14,52.5,50.14,36765.0,36765.0
2022-11-14,50.5,50.32,51.53,49.32,31036.0,31036.0
2022-11-15,50.8,52.77,53.21,50.56,44200.0,44200.0
2022-11-16,52.67,52.25,53.3,52.12,25452.0,25452.0
2022-11-17,52.26,53.87,53.87,51.7,39314.0,39314.0
2022-11-18,53.47,52.49,54.49,52.32,30785.0,30785.0
2022-11-21,51.85,50.86,52.84,50.41,25778.0,25778.0
2022-11-22,51.07,50.23,51.91,50.1,21832.0,21832.0
2022-11-23,49.84,49.76,50.73,48.7,27587.0,27587.0
2022-11-24,49.64,49.06,50.63,49.0,16412.0,16412.0
2022-11-25,48.9,48.5,50.08,48.5,17472.0,17472.0
2022-11-28,47.89,46.99,48.39,46.68,27094.0,27094.0
2022-11-29,47.47,48.6,49.0,47.09,23967.0,23967.0
2022-11-30,48.38,47.72,48.84,47.71,16949.0,16949.0
2022-12-01,48.5,48.21,49.36,47.7,23469.0,23469.0
2022-12-02,48.21,48.21,48.94,47.89,17333.0,17333.0
2022-12-05,49.0,48.4,49.5,47.95,25852.0,25852.0
2022-12-06,48.69,49.38,50.0,48.19,29771.0,29771.0
2022-12-07,48.96,48.83,49.66,48.75,16061.0,16061.0
2022-12-08,48.99,48.39,49.0,47.45,28482.0,28482.0
2022-12-09,48.25,49.41,50.05,48.2,32954.0,32954.0
2022-12-12,49.88,50.62,51.13,49.6,34430.0,34430.0
2022-12-13,50.49,50.0,50.6,49.44,22256.0,22256.0
2022-12-14,51.88,51.25,52.3,50.68,38788.0,38788.0
2022-12-15,50.98,51.8,54.13,50.6,56928.0,56928.0
2022-12-16,51.93,52.28,52.28,50.38,33294.0,33294.0
2022-12-19,51.8,50.23,52.46,50.05,24820.0,24820.0
2022-12-20,49.98,49.78,50.98,49.6,20093.0,20093.0
2022-12-21,49.78,49.01,50.8,48.3,18376.0,18376.0
2022-12-22,49.18,47.67,49.38,47.6,16572.0,16572.0
2022-12-23,47.03,45.72,47.58,45.06,32346.0,32346.0
2022-12-26,45.73,46.22,46.9,45.73,19046.0,19046.0
2022-12-27,46.6,46.06,46.6,45.03,21779.0,21779.0
2022-12-28,46.16,44.89,46.16,44.8,17466.0,17466.0
2022-12-29,44.46,44.7,45.39,44.25,14587.0,14587.0
2022-12-30,44.8,44.07,45.49,44.01,15056.0,15056.0
2023-01-03,44.03,45.23,45.28,43.52,20489.0,20489.0
2023-01-04,45.47,45.48,46.57,44.9,23194.0,23194.0
2023-01-05,45.23,45.7,45.89,44.85,20722.0,20722.0
2023-01-06,45.67,45.61,46.16,45.06,21511.0,21511.0
2023-01-09,46.0,45.6,46.46,45.41,17696.0,17696.0
2023-01-10,45.78,46.1,46.88,45.66,22316.0,22316.0
2023-01-11,46.65,45.63,47.3,45.46,20937.0,20937.0
2023-01-12,45.35,45.72,45.89,44.73,13677.0,13677.0
2023-01-13,45.9,46.25,46.3,45.56,15140.0,15140.0
2023-01-16,45.92,48.09,48.47,45.8,31554.0,31554.0
2023-01-17,48.36,49.63,49.93,47.78,26429.0,26429.0
2023-01-18,50.33,49.85,50.33,49.3,19131.0,19131.0
2023-01-19,51.09,57.18,57.52,51.09,84740.0,84740.0
