date,open,close,high,low,volume,volume.1
2022-03-28,23.6,22.71,23.68,22.52,7297.0,7297.0
2022-03-29,22.68,22.15,22.96,22.0,4440.0,4440.0
2022-03-30,22.15,22.85,22.89,21.91,5160.0,5160.0
2022-03-31,22.5,22.76,23.47,22.5,5536.0,5536.0
2022-04-01,22.5,22.21,22.57,22.02,6425.0,6425.0
2022-04-06,22.22,22.32,22.54,22.05,4836.0,4836.0
2022-04-07,22.11,21.6,22.29,21.15,7274.0,7274.0
2022-04-08,21.45,20.37,21.89,20.0,8882.0,8882.0
2022-04-11,20.45,19.89,20.57,19.68,6012.0,6012.0
2022-04-12,19.5,20.51,20.69,19.03,12124.0,12124.0
2022-04-13,20.15,19.34,20.34,19.18,8409.0,8409.0
2022-04-14,19.44,19.67,19.93,19.24,8065.0,8065.0
2022-04-15,19.45,21.07,21.39,19.38,15228.0,15228.0
2022-04-18,21.58,20.31,21.58,19.83,13897.0,13897.0
2022-04-19,20.33,19.8,20.33,19.63,4379.0,4379.0
2022-04-20,19.81,19.7,19.92,19.55,5817.0,5817.0
2022-04-21,19.7,19.0,20.03,18.88,7464.0,7464.0
2022-04-22,18.19,18.14,18.75,18.06,5830.0,5830.0
2022-04-25,18.1,16.53,18.1,16.3,12708.0,12708.0
2022-04-26,16.79,16.29,16.95,16.15,10139.0,10139.0
2022-04-27,16.29,16.55,16.69,15.36,6418.0,6418.0
2022-04-28,15.74,15.49,15.89,15.0,12979.0,12979.0
2022-04-29,15.1,16.91,17.02,15.1,10651.0,10651.0
2022-05-05,16.9,17.6,17.97,16.28,10258.0,10258.0
2022-05-06,16.98,17.93,18.17,16.98,9700.0,9700.0
2022-05-09,18.83,18.32,18.83,17.49,6839.0,6839.0
2022-05-10,17.66,19.45,19.6,17.65,10245.0,10245.0
2022-05-11,19.48,20.5,20.69,19.48,11074.0,11074.0
2022-05-12,20.02,20.32,20.68,20.0,11916.0,11916.0
2022-05-13,20.48,23.66,23.75,20.48,24920.0,24920.0
2022-05-16,23.48,22.0,23.48,21.34,24215.0,24215.0
2022-05-17,22.24,22.71,22.88,21.51,17920.0,17920.0
2022-05-18,22.88,23.69,23.7,22.25,16174.0,16174.0
2022-05-19,23.3,24.7,24.8,23.3,18145.0,18145.0
2022-05-20,24.7,25.18,25.37,24.3,14754.0,14754.0
2022-05-23,25.5,24.42,26.9,24.31,26434.0,26434.0
2022-05-24,24.9,24.17,24.9,23.46,14927.0,14927.0
2022-05-25,23.94,24.13,24.5,23.1,17919.0,17919.0
2022-05-26,24.13,21.82,24.13,21.37,25346.0,25346.0
2022-05-27,21.74,21.36,22.24,20.83,10254.0,10254.0
2022-05-30,21.36,21.65,22.01,20.7,9064.0,9064.0
2022-05-31,21.65,21.34,21.95,21.1,4907.0,4907.0
2022-06-01,21.3,21.3,21.71,20.86,5935.0,5935.0
2022-06-02,21.22,21.65,21.9,20.94,7830.0,7830.0
2022-06-06,22.1,21.83,22.26,20.47,11532.0,11532.0
2022-06-07,21.59,20.52,21.6,20.52,9486.0,9486.0
2022-06-08,19.89,19.27,20.0,17.48,65967.0,65967.0
2022-06-09,18.51,18.47,19.13,18.33,24833.0,24833.0
2022-06-10,18.47,18.51,18.84,18.31,18166.0,18166.0
2022-06-13,18.55,18.74,19.08,18.15,27639.0,27639.0
2022-06-14,18.5,18.4,18.85,18.2,14439.0,14439.0
2022-06-15,18.39,18.83,19.8,18.22,29780.0,29780.0
2022-06-16,18.79,19.2,19.48,18.39,32979.0,32979.0
2022-06-17,19.19,19.29,19.66,18.85,26548.0,26548.0
2022-06-20,19.29,19.82,19.98,19.26,28701.0,28701.0
2022-06-21,19.23,19.81,20.14,19.23,22456.0,22456.0
2022-06-22,20.16,19.39,20.16,19.33,15789.0,15789.0
2022-06-23,19.65,19.21,19.85,18.9,16088.0,16088.0
2022-06-24,19.24,19.26,19.76,19.06,18981.0,18981.0
2022-06-27,19.69,19.23,19.85,19.0,13442.0,13442.0
2022-06-28,19.04,18.99,19.32,18.55,11843.0,11843.0
2022-06-29,18.99,18.53,19.25,18.5,11743.0,11743.0
2022-06-30,18.86,18.89,19.73,18.58,19518.0,19518.0
2022-07-01,18.9,18.68,19.26,18.65,13312.0,13312.0
2022-07-04,18.67,19.11,19.5,18.4,15973.0,15973.0
2022-07-05,19.01,18.57,19.01,18.41,12660.0,12660.0
2022-07-06,18.8,18.66,19.15,18.38,12711.0,12711.0
2022-07-07,18.55,18.3,18.66,18.07,12268.0,12268.0
2022-07-08,18.31,18.37,18.62,18.25,10582.0,10582.0
2022-07-11,18.37,18.08,18.55,18.0,6333.0,6333.0
2022-07-12,18.2,17.92,18.22,17.73,7527.0,7527.0
2022-07-13,17.85,17.85,17.94,17.71,5649.0,5649.0
2022-07-14,17.55,17.66,18.0,17.55,5964.0,5964.0
2022-07-15,17.66,17.5,18.12,17.35,11173.0,11173.0
2022-07-18,17.7,17.58,17.89,17.3,6483.0,6483.0
2022-07-19,17.41,17.66,17.74,17.41,6213.0,6213.0
2022-07-20,17.71,17.73,17.96,17.59,5987.0,5987.0
2022-07-21,17.89,17.28,17.89,17.12,11353.0,11353.0
2022-07-22,17.37,16.9,17.47,16.7,11486.0,11486.0
2022-07-25,17.01,16.73,17.14,16.68,6393.0,6393.0
2022-07-26,16.84,16.82,17.02,16.53,8541.0,8541.0
2022-07-27,16.91,16.99,17.02,16.65,5857.0,5857.0
2022-07-28,16.99,17.18,17.64,16.82,11303.0,11303.0
2022-07-29,17.7,16.82,17.7,16.7,8736.0,8736.0
2022-08-01,16.82,16.84,17.06,16.53,5676.0,5676.0
2022-08-02,16.66,16.8,16.95,16.03,12608.0,12608.0
2022-08-03,15.9,16.88,17.48,15.9,11157.0,11157.0
2022-08-04,16.87,17.04,17.28,16.8,7780.0,7780.0
2022-08-05,16.87,18.13,18.2,16.87,17330.0,17330.0
2022-08-08,18.19,18.69,19.48,18.19,20970.0,20970.0
2022-08-09,18.39,18.51,18.87,18.14,14688.0,14688.0
2022-08-10,18.21,18.92,19.3,18.21,19809.0,19809.0
2022-08-11,18.73,19.06,19.54,18.73,21033.0,21033.0
2022-08-12,19.06,18.75,19.28,18.5,15434.0,15434.0
2022-08-15,18.42,18.39,18.75,18.27,8075.0,8075.0
2022-08-16,18.28,18.6,18.87,18.28,12539.0,12539.0
2022-08-17,18.61,18.03,18.77,17.99,11520.0,11520.0
2022-08-18,18.26,17.72,18.63,17.68,13965.0,13965.0
2022-08-19,18.04,17.37,18.28,17.36,9652.0,9652.0
2022-08-22,17.25,17.34,17.67,17.01,7552.0,7552.0
2022-08-23,17.5,17.34,17.5,17.1,7856.0,7856.0
2022-08-24,17.48,16.84,17.48,16.69,10324.0,10324.0
2022-08-25,17.09,16.66,17.09,16.52,7147.0,7147.0
2022-08-26,17.06,16.62,17.06,16.51,4352.0,4352.0
